ManufacturingDif,ServicesDif,CCDif,BPDif,TotalDif,Open,High,Low,Close,HighPercentDif,LowPercentDif,ClosePercentDif,Lag1HighPercentDif,Lag1LowPercentDif,Lag1ClosePercentDif,Lag2HighPercentDif,Lag2LowPercentDif,Lag2ClosePercentDif,Position,WeekVal
-3,-2,-1,-3,-9,1.1652,1.1769,1.1591,1.1747,0.0040095547,0.0055521818,0.0053059478,0.0017843487,0.0016392028,0.0024019902,0.0040095547,0.0055521818,0.0041347231,Buy,2018W26
-1,-4,-1,-6,-12,1.1659,1.1722,1.1527,1.1685,0.0038537296,0.0015639934,0.0024019902,0.0040095547,0.0055521818,0.0041347231,0.0038537296,0.0015639934,-0.013511217,Buy,2018W25
-1,-4,-1,-6,-12,1.161,1.1677,1.1509,1.1657,-0.014848562,-0.002945508,0.0041347231,0.0038537296,0.0015639934,-0.013511217,-0.014848562,-0.002945508,0.0091758854,Hold,2018W24
-1,-4,-1,-6,-12,1.1766,1.1853,1.1543,1.1609,0.0009288971,-0.009439629,-0.013511217,-0.014848562,-0.002945508,0.0091758854,0.0009288971,-0.009439629,0.0007723996,Hold,2018W23
-1,-4,-1,-6,-12,1.1657,1.1842,1.1653,1.1768,0.0097203274,0.012775943,0.0091758854,0.0009288971,-0.009439629,0.0007723996,0.0097203274,0.012775943,-0.010697911,Buy,2018W22
-1,-4,-1,-6,-12,1.165,1.1728,1.1506,1.1661,-0.008705942,-0.011936453,0.0007723996,0.0097203274,0.012775943,-0.010697911,-0.008705942,-0.011936453,-0.013898192,Hold,2018W21
1,-1,-1,-4,-5,1.1764,1.1831,1.1645,1.1652,-0.014001167,-0.008851817,-0.010697911,-0.008705942,-0.011936453,-0.013898192,-0.014001167,-0.008851817,-0.001337793,Sell,2018W20
1,-1,-1,-4,-5,1.1947,1.1999,1.1749,1.1778,0.0015859766,-0.006258987,-0.013898192,-0.014001167,-0.008851817,-0.001337793,0.0015859766,-0.006258987,-0.014014839,Hold,2018W19
1,-1,-1,-4,-5,1.1953,1.198,1.1823,1.1944,-0.013260852,-0.007388129,-0.001337793,0.0015859766,-0.006258987,-0.014014839,-0.013260852,-0.007388129,-0.012858073,Sell,2018W18
1,-1,-1,-4,-5,1.2125,1.2141,1.1911,1.196,-0.012284413,-0.011945251,-0.014014839,-0.013260852,-0.007388129,-0.012858073,-0.012284413,-0.011945251,-0.003487146,Sell,2018W17
-2,-2,2,-6,-8,1.2289,1.2292,1.2055,1.213,-0.00990737,-0.015918367,-0.012858073,-0.012284413,-0.011945251,-0.003487146,-0.00990737,-0.015918367,0.0039078401,Sell,2018W16
-2,-2,2,-6,-8,1.2331,1.2415,1.225,1.2288,0.0014519642,-0.000897154,-0.003487146,-0.00990737,-0.015918367,0.0039078401,0.0014519642,-0.000897154,-0.003245963,Hold,2018W15
-2,-2,2,-6,-8,1.2279,1.2397,1.2261,1.2331,0.0041308926,0.0038480432,0.0039078401,0.0014519642,-0.000897154,-0.003245963,0.0041308926,0.0038480432,-0.00242856,Buy,2018W14
-2,-2,2,-6,-8,1.2323,1.2346,1.2214,1.2283,-0.010499319,-0.00561752,-0.003245963,0.0041308926,0.0038480432,-0.00242856,-0.010499319,-0.00561752,0.0052079095,Sell,2018W13
-1,-3,3,-4,-5,1.2349,1.2477,1.2283,1.2323,0.0070217918,0.003595065,-0.00242856,-0.010499319,-0.00561752,0.0052079095,0.0070217918,0.003595065,-0.001462582,Hold,2018W12
-1,-3,3,-4,-5,1.2284,1.239,1.2239,1.2353,-0.001933301,-0.001794307,0.0052079095,0.0070217918,0.003595065,-0.001462582,-0.001933301,-0.001794307,-0.000811886,Hold,2018W11
-1,-3,3,-4,-5,1.2311,1.2414,1.2261,1.2289,-0.002731362,-0.00065205,-0.001462582,-0.001933301,-0.001794307,-0.000811886,-0.002731362,-0.00065205,0.0019523306,Sell,2018W10
-1,-3,3,-4,-5,1.2324,1.2448,1.2269,1.2307,0.0076088716,0.0095449683,-0.000811886,-0.002731362,-0.00065205,0.0019523306,0.0076088716,0.0095449683,-0.009108496,Hold,2018W09
-1,-3,3,-4,-5,1.2297,1.2354,1.2153,1.2317,-0.006513872,-0.008646709,0.0019523306,0.0076088716,0.0095449683,-0.009108496,-0.006513872,-0.008646709,0.0139762975,Hold,2018W08
1,-3,4,-6,-4,1.2409,1.2435,1.2259,1.2293,-0.009715696,0.0019615856,-0.009108496,-0.006513872,-0.008646709,0.0139762975,-0.009715696,0.0019615856,-0.018215375,Sell,2018W07
1,-3,4,-6,-4,1.2254,1.2557,1.2235,1.2406,0.0064117977,0.0023758807,0.0139762975,-0.009715696,0.0019615856,-0.018215375,0.0064117977,0.0023758807,0.0033008614,Buy,2018W06
1,-3,4,-6,-4,1.2457,1.2477,1.2206,1.2235,-0.003752795,-0.010377817,-0.018215375,0.0064117977,0.0023758807,0.0033008614,-0.003752795,-0.010377817,0.0162821142,Sell,2018W05
